Source	Target	Type	Label	Wheigt
/BD_196	/BD_175	UnDirected	a-circio	1
/BD_196	/E_163	UnDirected	a-orient	1
/BD_196	/R_16	UnDirected	in-capite	1
/BD_196	/R_16	UnDirected	a-meridie	1
/BD_196	/R_8	UnDirected	a-occident	1
/BD_197	/BD_198	UnDirected	a-orient	1
/BD_197	/BD_74	UnDirected	a-orient	1
/BD_197	/BND_859	UnDirected	a-circio	1
/BD_197	/BND_860	UnDirected	a-circio	1
/BD_197	/E_163	UnDirected	a-occident	1
/BD_197	/R_16	UnDirected	a-meridie	1
/BD_198	/BD_197	UnDirected	a-occident	1
/BD_198	/BD_199	UnDirected	a-orient	1
/BD_198	/BD_200	UnDirected	a-orient	1
/BD_198	/BD_74	UnDirected	a-circio	1
/BD_198	/R_16	UnDirected	a-meridie	1
/BD_199	/BD_198	UnDirected	a-occident	1
/BD_199	/BD_200	UnDirected	a-orient	1
/BD_199	/BD_74	UnDirected	a-occident	1
/BD_199	/R_16	UnDirected	a-meridie	1
/BD_2	/BD_1	UnDirected	ab-aura-recta	1
/BD_2	/L_223	UnDirected	a-orient	1
/BD_2	/L_223	UnDirected	a-meridie	1
/BD_2	/R_108	UnDirected	a-occident	1
/BD_2	/R_3	UnDirected	prope	1
/BD_20	/BD_19	UnDirected	a-occident	1
/BD_20	/BD_21	UnDirected	a-orient	1
