Source;Target;Type;Label;typeLien;Wheigt
994;1520;;filius;LienFamille;1
995;1022;;uxor;LienFamille;1
995;810;;relicta;LienFamille;1
995;1022;;uxor;LienFamille;1
995;950;;filia;LienFamille;1
995;950;;filia;LienFamille;1
996;1041;;heres;LienFamille;1
996;1041;;filius;LienFamille;1
998;1046;;conjuges;LienFamille;1
999;1027;;filius;LienFamille;1
999;1027;;heres;LienFamille;1
1000;918;;filia;LienFamille;1
1000;918;;heres;LienFamille;1
1000;753;;uxor;LienFamille;1
1002;793;;filia;LienFamille;1
1006;911;;frater;LienFamille;1
1009;887;;uxor;LienFamille;1
1010;113;;pasticerius;LienProfessionel;1
1011;942;;filia;LienFamille;1
1011;798;;uxor;LienFamille;1
1011;942;;heres;LienFamille;1
1014;1043;;heres;LienFamille;1
1014;1043;;filia;LienFamille;1
